iter	CrossEntropy
0	0.6618570382
1	0.6363412912
2	0.6122402518
3	0.59514631
4	0.5810698591
5	0.5431965855
6	0.5100078038
7	0.4818579102
8	0.4750678362
9	0.4636431013
10	0.458997018
11	0.4551699829
12	0.4436057826
13	0.4322157942
14	0.4279295131
15	0.4261152431
16	0.4218235125
17	0.412038487
18	0.4110375977
19	0.3914259992
20	0.3907670811
21	0.3902263096
22	0.3774167306
23	0.372630964
24	0.3588863264
25	0.3489556013
26	0.3401488386
27	0.3399842181
28	0.3398500279
29	0.3397400992
30	0.3380598886
31	0.3284300886
32	0.3283711243
33	0.3218472072
34	0.3162838309
35	0.3162210519
36	0.3161964199
37	0.316176627
38	0.3106164987
39	0.3106034197
40	0.310592695
41	0.3105840846
42	0.302969186
43	0.3029637364
44	0.2969345965
45	0.2969311959
46	0.2958159528
47	0.2903541129
48	0.2902167838
49	0.2865526254
50	0.2838406154
51	0.2807245309
52	0.2807242693
53	0.2767366246
54	0.2767365374
55	0.2767365374
56	0.2742810495
57	0.2736562238
58	0.2736560931
59	0.2729037912
60	0.2729036168
61	0.2704869734
62	0.2704864502
63	0.2690985325
64	0.2677238464
65	0.267723672
66	0.2667847116
67	0.2667844282
68	0.265055869
69	0.2650556946
70	0.265055542
71	0.2619806998
72	0.2619802856
73	0.2618563843
74	0.2618560355
75	0.2602404567
76	0.2577466038
77	0.2574340166
78	0.2551741464
79	0.2541898455
80	0.2528229632
81	0.251920166
82	0.2519194903
83	0.2492760795
84	0.248148237
85	0.2481472342
86	0.2480629185
87	0.2480623518
88	0.248061676
89	0.247240121
90	0.2459970747
91	0.2451970564
92	0.2440926252
93	0.243056379
94	0.2419537789
95	0.2411178153
96	0.2407926069
97	0.2397954886
98	0.2391677638
99	0.2378911046
